Feature: workclass
  native-country = Poland | count: 14 | precision: 0.6667 | recall: 1.0000 | fbeta: 0.8000
  native-country = Cambodia | count: 3 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Germany | count: 32 | precision: 0.8182 | recall: 0.6923 | fbeta: 0.7500
  native-country = Philippines | count: 35 | precision: 1.0000 | recall: 0.6875 | fbeta: 0.8148
  native-country = Canada | count: 22 | precision: 0.7000 | recall: 0.8750 | fbeta: 0.7778
  native-country = Ecuador | count: 5 | precision: 1.0000 | recall: 0.5000 | fbeta: 0.6667
  native-country = Italy | count: 14 | precision: 0.7500 | recall: 0.7500 | fbeta: 0.7500
  native-country = Cuba | count: 19 | precision: 0.6667 | recall: 0.8000 | fbeta: 0.7273
  native-country = Iran | count: 12 | precision: 0.3333 | recall: 0.2000 | fbeta: 0.2500
  native-country = Jamaica | count: 13 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Haiti | count: 6 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = South | count: 13 | precision: 0.3333 | recall: 0.5000 | fbeta: 0.4000
  native-country = Taiwan | count: 11 | precision: 0.7500 | recall: 0.7500 | fbeta: 0.7500
  native-country = Dominican-Republic | count: 8 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Ireland | count: 5 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Japan | count: 11 | precision: 0.7500 | recall: 0.7500 | fbeta: 0.7500
  native-country = Scotland | count: 3 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = India | count: 21 | precision: 0.8750 | recall: 0.8750 | fbeta: 0.8750
  native-country = Trinadad&Tobago | count: 3 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Hungary | count: 3 | precision: 1.0000 | recall: 0.5000 | fbeta: 0.6667
  native-country = England | count: 14 | precision: 0.6667 | recall: 0.5000 | fbeta: 0.5714
  native-country = Laos | count: 4 | precision: 1.0000 | recall: 0.0000 | fbeta: 0.0000
  native-country = Hong | count: 8 | precision: 0.5000 | recall: 1.0000 | fbeta: 0.6667
  native-country = Greece | count: 7 | precision: 0.0000 | recall: 0.0000 | fbeta: 0.0000
  native-country = Portugal | count: 6 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Guatemala | count: 13 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = China | count: 18 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = France | count: 5 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Nicaragua | count: 7 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Vietnam | count: 5 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Thailand | count: 5 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Peru | count: 5 | precision: 0.0000 | recall: 0.0000 | fbeta: 0.0000
  native-country = Honduras | count: 4 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000
  native-country = Yugoslavia | count: 2 | precision: 1.0000 | recall: 1.0000 | fbeta: 1.0000

